# STATION: KSNT,,,,
# STATION NAME: Stanley, Stanley Ranger Station,,,
# LATITUDE: 44.20861,,,,
# LONGITUDE: -114.93444,,,,
# ELEVATION [ft]: 6496,,,,
# STATE: ID,,,,
Station_ID,Date_Time,air_temp_set_1,precip_accum_one_hour_set_1,wind_speed_set_1
,,Fahrenheit,Inches,Miles/hour
KSNT,04/15/2020 05:51 UTC,33.98,,3.44
KSNT,04/15/2020 06:51 UTC,33.98,,3.44
KSNT,04/15/2020 07:51 UTC,32,,0
KSNT,04/15/2020 08:51 UTC,32,,0
KSNT,04/15/2020 09:51 UTC,30.92,0.01,0
KSNT,04/15/2020 10:51 UTC,30.92,,0
KSNT,04/15/2020 11:51 UTC,30.92,0.01,0
KSNT,04/15/2020 12:51 UTC,30.92,0.01,0
KSNT,04/15/2020 13:51 UTC,32,,0
KSNT,04/15/2020 14:51 UTC,,,
KSNT,04/15/2020 15:51 UTC,,,
KSNT,04/15/2020 16:51 UTC,,,
KSNT,04/15/2020 17:51 UTC,35.96,0.01,6.91
KSNT,04/15/2020 18:51 UTC,42.08,,11.5
KSNT,04/15/2020 19:51 UTC,33.08,,17.27
KSNT,04/15/2020 20:51 UTC,30.92,0.07,0
KSNT,04/15/2020 21:51 UTC,37.04,,0
KSNT,04/15/2020 22:51 UTC,33.08,0.01,4.61
KSNT,04/15/2020 23:51 UTC,35.06,,3.44
KSNT,04/16/2020 00:51 UTC,35.06,,3.44
KSNT,04/16/2020 01:51 UTC,33.98,,3.44
KSNT,04/16/2020 02:51 UTC,33.08,,3.44
KSNT,04/16/2020 03:51 UTC,32,,3.44
KSNT,04/16/2020 04:51 UTC,32,,0
KSNT,04/16/2020 05:51 UTC,30.92,,5.75
KSNT,04/16/2020 06:51 UTC,28.94,,8.05
KSNT,04/16/2020 07:51 UTC,28.04,,4.61
KSNT,04/16/2020 08:51 UTC,26.06,,0
KSNT,04/16/2020 09:51 UTC,24.98,,6.91
KSNT,04/16/2020 10:51 UTC,21.02,,4.61
KSNT,04/16/2020 11:51 UTC,17.06,,0
KSNT,04/16/2020 12:51 UTC,15.08,,3.44
KSNT,04/16/2020 13:51 UTC,17.06,,0
KSNT,04/16/2020 14:51 UTC,21.02,,0
KSNT,04/16/2020 15:51 UTC,24.08,,6.91
KSNT,04/16/2020 16:51 UTC,26.96,,5.75
KSNT,04/16/2020 17:51 UTC,30.02,,4.61
KSNT,04/16/2020 18:51 UTC,33.08,,
KSNT,04/16/2020 19:51 UTC,35.06,,8.05
KSNT,04/16/2020 20:51 UTC,35.96,,6.91
KSNT,04/16/2020 21:51 UTC,37.04,,6.91
KSNT,04/16/2020 22:51 UTC,37.94,,4.61
KSNT,04/16/2020 23:51 UTC,39.02,,6.91
KSNT,04/17/2020 00:51 UTC,37.94,,5.75
KSNT,04/17/2020 01:51 UTC,37.04,,0
KSNT,04/17/2020 02:51 UTC,26.96,,0
KSNT,04/17/2020 03:51 UTC,23,,0
KSNT,04/17/2020 04:51 UTC,21.02,,0
KSNT,04/17/2020 05:51 UTC,19.04,,3.44
KSNT,04/17/2020 06:51 UTC,17.96,,4.61
KSNT,04/17/2020 07:51 UTC,17.96,,5.75
KSNT,04/17/2020 08:51 UTC,14,,0
KSNT,04/17/2020 09:51 UTC,14,,3.44
KSNT,04/17/2020 10:51 UTC,12.02,,4.61
KSNT,04/17/2020 11:51 UTC,10.04,,0
KSNT,04/17/2020 12:51 UTC,10.04,,0
KSNT,04/17/2020 13:51 UTC,12.02,,0
